CaseID ;Title                                                            ;Location                                                   ;City                                         ;State                ;Latitude           ;Longitude    ;Number of Victim Fatalities ;Total Number of Fatalities ;Number of Victims Injured ;Total_Number_of_Victims
156.0  ;Homes in Desoto and Dallas                                       ;Dallas, Texas                                              ;Dallas                                       ;Texas                ;32.79480596        ;-96.76631094 ;4.0                         ;4.0                        ;4.0                       ;8.0
17.0   ;Goddard Junior High School                                       ;Goddard, Kansas                                            ;Goddard                                      ;Kansas               ;37.67129418        ;-97.55070476 ;1.0                         ;1.0                        ;3.0                       ;4.0
288.0  ;Riverside restaurant shooting                                    ;Jurupa Valley, California                                  ;Jurupa Valley                                ;California           ;33.997197          ;-117.48548   ;1.0                         ;1.0                        ;3.0                       ;4.0
129.0  ;North Tulsa, Oklahoma                                            ;Tulsa, Oklahoma                                            ;Tulsa                                        ;Oklahoma             ;36.13543238        ;-95.91316117 ;3.0                         ;3.0                        ;2.0                       ;5.0
135.0  ;The Spot Nightclub                                               ;Miami, Florida                                             ;Miami                                        ;Florida              ;25.79653943        ;-80.20840397 ;0.0                         ;0.0                        ;15.0                      ;15.0
38.0   ;Palo Duro High School                                            ;Amarillo, Texas                                            ;Amarillo                                     ;Texas                ;35.18322484        ;-101.8805688 ;0.0                         ;0.0                        ;6.0                       ;6.0
246.0  ;Omaha, Nebraska                                                  ;Omaha, Nebraska                                            ;Omaha                                        ;Nebraska             ;41.3138            ;-96.0814     ;2.0                         ;2.0                        ;3.0                       ;5.0
24.0   ;Electromagnetic Systems Laboratory (ESL)                         ;Sunnyvale, California                                      ;Sunnyvale                                    ;California           ;37.38344257        ;-122.0256185 ;7.0                         ;7.0                        ;4.0                       ;11.0
11.0   ;Welding shop in Miami                                            ;Miami, Florida                                             ;Miami                                        ;Florida              ;25.79653943        ;-80.20840397 ;8.0                         ;9.0                        ;3.0                       ;11.0
225.0  ;Houston, Texas                                                   ;Houston, Texas                                             ;Houston                                      ;Texas                ;29.79705548        ;-95.36763856 ;8.0                         ;8.0                        ;0.0                       ;8.0
279.0  ;Michigan school shooting                                         ;Muskegon Heights, Michigan                                 ;Muskegon Heights                             ;Michigan             ;43.201126          ;-86.238946   ;0.0                         ;0.0                        ;3.0                       ;3.0
35.0   ;Luby's Cafeteria in Killeen, Texas                               ;Killeen, Texas                                             ;Killeen                                      ;Texas                ;31.07925506        ;-97.73392317 ;23.0                        ;24.0                       ;20.0                      ;43.0
113.0  ;Rivermark, Santa Clara, California                               ;Santa Clara, California                                    ;Santa Clara                                  ;California           ;37.36463172        ;-121.9679315 ;5.0                         ;6.0                        ;1.0                       ;6.0
